FID,AREA,PERIMETER,INDEX_,INDEX_ID,TILE,TILENUM
206,16382243.323065,16334.342144313,111,82,1845,1845
207,16375424.349775,16330.478783146,12,780,2379,2379
208,16382248.05017,16334.343510401,112,55,1846,1846
209,16382266.009506,16334.351632324,113,33,1847,1847
210,16384491.463407,16335.609808085,114,1311,1653,1653
211,16375416.553763,16330.47450593,13,726,2380,2380
212,16417197.841965,16354.142664512,602,64,1237,1237
213,16384480.166206,16335.60415306,115,1266,1654,1654
214,16419681.47752,16355.547433327,603,1478,0594,594
215,16375420.905664,16330.475784982,14,671,2381,2381
216,16384477.353109,16335.603459797,116,1220,1655,1655
217,16384475.060791,16335.603296834,117,1168,1656,1656
218,16384465.957108,16335.598904001,118,1116,1657,1657
219,16419692.904225,16355.551762135,604,1445,0501,501
220,16375438.352033,16330.484715826,15,617,2382,2382
221,16419710.28509,16355.559700562,605,1407,0416,416
222,16384453.925304,16335.59277973,119,1065,1658,1658
223,16419703.558388,16355.55611769,606,1369,0339,339
224,16384453.481587,16335.594369113,120,1013,1659,1659
225,16375442.489889,16330.48725401,16,563,2383,2383
226,16419703.615,16355.555334764,607,1326,0270,270
227,16384432.693047,16335.584391554,121,958,1660,1660
228,16419727.482138,16355.56696823,608,1281,0209,209
229,16375423.247449,16330.476230542,17,510,2384,2384
230,16443222.158546,16368.865954873,989,701,0092,92
231,16405681.572736,16347.622217639,401,277,0530,530
232,16384427.999553,16335.582177203,122,901,1661,1661
233,16384714.863848,16335.744473363,123,844,1662,1662
234,16419728.499665,16355.567190007,609,1235,0156,156
235,16443211.02974,16368.860632997,990,646,0091,91
236,16443211.347843,16368.861696887,991,592,0132,132
237,16375433.529429,16330.483000069,18,460,2385,2385
238,16419726.558515,16355.565996226,610,1189,0111,111
239,16443189.320328,16368.850373829,992,539,0181,181
240,16384715.69949,16335.745462343,124,787,1663,1663
241,16443185.83227,16368.850017848,993,489,0238,238
242,16443177.667958,16368.846003872,994,439,0303,303
243,16384727.5108,16335.751332347,125,731,1664,1664
244,16419735.860862,16355.570463371,611,1139,0112,112
245,16443189.315957,16368.852522823,995,390,0376,376
246,16443176.199015,16368.845628994,996,341,0457,457
247,16443167.79089,16368.841270965,997,293,0546,546
248,16375412.765529,16330.47216317,19,410,2386,2386
249,16384733.462955,16335.753535175,126,676,1665,1665
250,16443181.565388,16368.849680237,998,245,0643,643
251,16419749.797599,16355.576225419,612,1087,0113,113
252,16419759.388152,16355.580015814,613,1034,0114,114
253,16384717.164103,16335.745298359,127,621,1666,1666
254,16375423.637638,16330.47795082,20,361,2387,2387
255,16443148.139749,16368.832309921,999,202,0748,748
256,16384722.669394,16335.748615295,128,567,1667,1667
257,16419762.48751,16355.582234053,614,979,0115,115
258,16443148.746822,16368.834022382,1000,166,0861,861
259,16445465.626631,16370.148437885,1001,1540,0793,793
260,16375432.046233,16330.481295053,21,312,2388,2388
261,16384718.049897,16335.74583421,129,514,1668,1668
262,16419761.183408,16355.580984133,615,922,0116,116
263,16412664.691481,16351.581365487,502,688,0285,285
264,16384728.403786,16335.752362393,130,464,1669,1669
265,16419811.932152,16355.609050796,616,863,0117,117
266,16375436.55222,16330.483269817,22,264,2389,2389
267,16384706.016067,16335.73967014,131,414,1670,1670
268,16419809.424255,16355.607922955,617,805,0118,118
269,16384725.764403,16335.750432559,132,365,1671,1671
270,16375434.726078,16330.482847502,23,216,2390,2390
271,16419806.312624,16355.607278523,618,748,0119,119
272,16384732.831982,16335.752754514,133,316,1672,1672
273,16384738.892268,16335.755610953,134,268,1673,1673
274,16419791.656204,16355.600346194,619,693,0120,120
275,16375441.53397,16330.485982335,24,173,2391,2391
276,16384733.977086,16335.753374955,135,220,1674,1674
277,16419791.383969,16355.600191403,620,638,0121,121
278,16375435.184022,16330.482539918,25,138,2392,2392
279,16384737.244728,16335.754509816,136,177,1675,1675
280,16419799.125961,16355.604470236,621,582,0122,122
281,16375271.026704,16330.388997114,26,108,2393,2393
282,16384742.997159,16335.757950836,137,142,1676,1676
283,16419782.837457,16355.596359178,622,529,0171,171
284,16384558.971978,16335.65440934,138,112,1677,1677
285,16384579.44638,16335.665327958,139,83,1678,1678
286,16422071.023132,16356.905849894,623,1619,1790,1790
287,16375288.53535,16330.397915839,27,79,2394,2394
288,16419784.129311,16355.597804223,624,479,0228,228
289,16384582.082974,16335.664872736,140,56,1679,1679
290,16422081.529392,16356.910979157,625,1614,1625,1625
291,16384592.912702,16335.669885826,141,34,1680,1680
292,16375274.712213,16330.390309301,28,52,2395,2395
293,16386843.975357,16336.94310392,142,1312,1494,1494
294,16419770.82372,16355.590904989,626,429,0293,293
295,16386807.471022,16336.924697591,143,1267,1495,1495
296,16375308.877882,16330.407321233,29,30,2396,2396
297,16422084.293451,16356.912576995,627,1607,1468,1468
298,16386818.568876,16336.930974884,144,1221,1496,1496
299,16419775.834517,16355.594301899,628,380,0366,366
300,16386819.841864,16336.931625435,145,1170,1497,1497
