OBJECTID_1,OBJECTID,TNODE_,LPOLY_,RPOLY_,LENGTH,STREETCL_,STREETCL_I,PREFIX,NAME,TYPE,SUFFIX,STREETNAME,ALTERNATEN,LLEFT,HLEFT,LRGT,HRGT,FROMSTREET,TOSTREET,OWNER,BELTWAY,MAJORRD,NO_LANES,CFCC,ONEWAY,STCL_CODE,UNIQUE_ID,ROUTE_ID,ROUTE_TYPE,LNK_ROUTE_,CITYWORKS,FACILITYID,LEGACYID,INSTALLDAT,WARRANTYDA,CONDITIOND,LOCATION
112,78,0,0,0,4478.1556276575,41921,16, ,Whitehall ,Rd, ,Whitehall Rd,"E.Willock (in Brentwood and Whitehall),Prospect Rd",0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  5333-02,SNOW,533302, ,41921, ,,,,Whitehall Rd
113,54,0,0,0,15314.7577292511,29899,6, ,McKees Rocks / Steubenville ,Rd, ,McKees Rocks / Steubenville Rd,Mc Kees Rocks / Middletown Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6199-01,SNOW,619901, ,29899, ,,,,Mc Kees Rocks / Steubenville Pike
114,79,0,0,0,1147.70499639927,42119,262, ,Homestead - Duquesne ,Rd, ,Homestead - Duquesne Rd,Homestead-Duquesne Rd,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  5147-04,SNOW,514704, ,42119, ,,,,Homestead-Duquesne Rd
115,80,0,0,0,3249.45932470713,42166,310, ,Homestead - Duquesne ,Rd, ,Homestead - Duquesne Rd,Homestead-Duquesne Rd,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  5147-03,SNOW,514703, ,42166, ,,,,Homestead-Duquesne Rd
116,81,0,0,0,5689.29262156116,42463,45, ,Fairhaven & Provost ,Rd, ,Fairhaven & Provost Rd,Provost Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  5123-00,SNOW,512300, ,42463, ,,,,Fairhaven / Provost Rd
117,601,0,0,0,13190.0165364105,72524,79, ,Bower Hill ,Rd, ,Bower Hill Rd,Bower Hill Rd,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  6034-00,SNOW,603400, ,81045, ,,,,Bower Hill Rd
118,602,0,0,0,2574.49464677994,73121,129, ,Homestead - Duquesne ,Rd, ,Homestead - Duquesne Rd,"West St, 22nd St, Main St",0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  5147-01,SNOW,514701, ,81048, ,,,,Homestead-Duquesne Rd/ West St
119,603,0,0,0,2061.98039531478,57794,154, ,Dravosburg Bridge Ramp,, ,Dravosburg Bridge Ramp,Richland Ave,0,0,0,0, , ,County,Yellow,Yes,0, , ,1620,0,  5103-05,SNOW,510305, ,81056, ,,,,Dravosburg Bridge Ramp/ Richland Ave
120,604,0,0,0,1357.37149194854,73415,23, ,Stroschein ,Rd, ,Stroschein Rd,Stroschein Rd,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  3298-01,SNOW,329801, ,81059, ,,,,Stroschein Rd
121,606,0,0,0,6872.71243459294,28606,205, ,Mccoy ,Rd, ,Mccoy Rd,Mccoy Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6196-01,SNOW,619601, ,81081, ,,,,Mccoy Rd
122,211,0,0,0,563.814288581519,44729,93, ,"Bethel Rd, Hillcrest",, ,"Bethel Rd, Hillcrest",Bethel Church Rd,0,0,0,0, , , , , ,0, , ,1630,0,  5028-05,SNOW,502805, ,80204, ,,,,"Bethel Rd, Hillcrest"
123,628,0,0,0,5166.19559324883,25,51693567, ,Mount Troy ,Rd, ,Mount Troy Rd,Mt Troy Rd Extension,4679,4699,4676,4698,City Limit,Ivory Ave,City, , ,2,A30,n,0,101,  2351-00,SNOW,235100, ,81498, ,,,,Mt Troy Rd
124,637,0,0,0,3912.5561676133,73065,209, ,Campbells Run ,Rd, ,Campbells Run Rd,"Campbells Run Rd, Chartiers St",0,0,0,0, , ,County,Yellow,Yes,0, , ,1630,0,  6072-09,SNOW,607209, ,81533, ,,,,Campbells Run Rd
125,180,0,0,0,22739.6914978288,73310,7, ,Universal ,Rd, ,Universal Rd,Universal Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3317-00,SNOW,331700, ,73310, ,,,,Universal Rd
