X,Y,TEMA,SURVEY,TEXTSTRING,OBJECTID
-6.06283303738419,54.6430785902979,B_CLASS,20031029,B 39,367
-6.0628322940877,54.5254553199184,B_CLASS,20031029,B 101,368
-5.94262713902447,54.545955786741,B_CLASS,20031029,B 23,369
-5.98140333162228,54.5395133213351,B_CLASS,20031029,B 103,370
-5.98419499736519,54.5215244858914,B_CLASS,20031029,B 23,371
-5.94388502550952,54.5359761664308,B_CLASS,20031029,B 205,372
-6.02104329506139,54.4741511827848,B_CLASS,20060309,B 178,373
-5.93057149349828,54.4999770123605,B_CLASS,20060309,B 178,374
-5.92782835388151,54.4786423361888,B_CLASS,20060309,B 6,375
-6.07306731198795,54.5378312519052,B_CLASS,20031029,B 101,376
-5.87432688937268,54.4021950979295,B_CLASS,20060309,B 7,377
-6.03793307152054,54.3563103095145,B_CLASS,20060306,B 7,378
-5.89290296741794,54.33584897294,B_CLASS,20060306,B 175,379
-5.85907735406728,54.3905183807949,B_CLASS,20060309,B 2,380
-5.97957172120537,54.4333268098949,B_CLASS,20060309,B 77,381
-6.02137611475547,54.4082221453876,B_CLASS,20060309,B 2,382
-6.14857645192491,54.2822886808896,B_CLASS,20060306,B 25,383
-6.13549724011464,54.26839042163,B_CLASS,20060306,B 7,384
-6.15359314683715,54.2194355651489,B_CLASS,20060306,B 25,385
-5.96883692718015,54.2235592575607,B_CLASS,20060306,B 180,386
-5.8826621670374,54.2423288507009,B_CLASS,20060306,B 180,387
-5.92119948503593,54.2766857862692,B_CLASS,20060306,B 175,388
-6.1614505177728,54.1923740758393,B_CLASS,20060306,B 8,389
-6.15505003884739,54.1529978832914,B_CLASS,20060306,B 25,390
-6.04746484808194,54.1365556076557,B_CLASS,20060306,B 27,391
-6.06863642077217,54.1852376356191,B_CLASS,20060306,B 27,392
-6.1184927872503,54.1973436741043,B_CLASS,20060306,B 27,393
-6.11050786599983,54.2113173105091,B_CLASS,20060306,B 8,394
-6.09029542186663,54.2025504745059,B_CLASS,20060306,B 180,395
-6.01031830474988,54.074184624399,B_CLASS,20060306,B 27,396
-6.31635204057914,55.2239558135882,B_CLASS,20050124,B 15,397
-6.34873231133943,55.2029403131094,B_CLASS,20050124,B 17,398
-6.35868372766575,55.2081479608937,B_CLASS,20050124,B 147,399
-6.42971381848606,55.0698053403669,B_CLASS,20050131,B 16,400
-6.41855385389612,55.0875543112656,B_CLASS,20050131,B 15,401
-6.41644773457005,55.0680766087382,B_CLASS,20050131,B 16,402
-6.38124025290401,55.1140914011813,B_CLASS,20050124,B 15,403
